alk_Q1,alk_Q2,alk_Q3,alk_Q4,pH_Q1,pH_Q2,pH_Q3,pH_Q4,DBPsf_Q1,DBPsf_Q2,DBPsf_Q3,DBPsf_Q4,wc_freq_TTHM,wc_freq_HAA5,expect_solids,expect_lime,expect_co2
24.17422566,16.01786167,32.09232668,12.9482398,6,6,6.396971738,6,0.088881462,0.577529959,0.443862528,0.02,0.25,0.159090909,16.7182876,66.29611672,71.42744621
27.27705354,14.30327614,20.41028295,11.63355438,9.438261974,6.509386447,7.194052439,8.028966064,0.21257613,0.226351502,0.654583313,0.477990567,0.295454545,0.090909091,20.30034995,14.7500645,4.58912125
2.903896007,66.05550958,30.69735546,24.51214913,6.112301851,6.17068308,6.027907615,6.067623948,0.742489724,0.724962219,0.154364382,0.717875246,0.159090909,0,23.67418917,91.17130424,94.42524005
21.85355051,30.5525081,4.685755593,0.937032164,7.289844632,6.751110058,8.41135205,6.358504395,0.338691178,0.329282169,0.078762654,0.238962078,0.272727273,0.022727273,20.72475207,23.24875232,14.56191779
0.560032408,44.61935374,29.19751068,33.41719705,7.907637704,8.018923931,8.572960092,9.469257444,0.444417107,0.322646503,0.037426777,0.521028903,0.204545455,0,25.70523926,20.21146254,5.60427579
21.49337961,10.37520167,7.872832126,43.6923389,8.406783925,7.478709762,6.453538516,8.160333711,0.157808232,0.75,0.513442195,0.204417608,0.295454545,0.045454545,20.72010627,16.72096252,6.553694523
32.83788269,20.18477539,14.70421607,36.34444115,7.765069238,7.704091662,7.58952939,6.624460615,0.497273688,0.511241889,0.3766673,0.275053708,0.295454545,0.045454545,20.29872991,16.87809337,7.222715517
5.149785815,47.02128015,13.4926018,28.52414512,6.291028155,6.739502222,8.578258289,7.505745071,0.252522702,0.590861105,0.492831494,0.211133902,0.204545455,0,24.24268723,33.25427084,23.13489616
49.80307304,81.2382815,70.77406594,24.38652369,6,6,6,6,0.75,0.02,0.02,0.75,0.113636364,0,23.45881986,162.2627633,181.4303933
20.86251293,64.64791301,12.45462461,12.03435628,8.319022352,8.475357678,6.545276479,7.489385869,0.421254641,0.101576103,0.347164873,0.75,0.090909091,0,27.96580396,27.47799266,12.08672211
27.27705354,14.30327614,20.41028295,11.63355438,9.438261974,6.509386447,7.771387626,8.39820961,0.21257613,0.226351502,0.654583313,0.477990567,0.295454545,0.090909091,20.52431266,14.57325328,4.142307019
34.08491916,10.25563408,0,10.83935987,6.094640877,6.537315787,6.879132454,6,0.75,0.02,0.021633883,0.02,0.295454545,0.090909091,17.72809719,48.29943891,48.44374158
19.59398968,35.76413785,37.50128965,1.012319294,7.103240942,6.822868092,6.838845789,8.432793878,0.447242893,0.75,0.75,0.609896744,0.25,0,23.28866491,24.42054749,13.25599994
49.80307304,111.8704327,70.77406594,24.38652369,6.810255483,6,6,6,0.75,0.02,0.02,0.75,0,0,25.97826649,160.2633149,176.1196011
0.259095945,27.96899175,30.66733842,35.13187157,8.800868574,7.588306847,6.015102852,6.041462425,0.02,0.037907699,0.68415285,0.153761937,0.25,0.022727273,19.58718272,46.01070063,43.49916648
29.2608925,61.32926245,31.73115745,26.50177591,9.008598914,9.5,6,7.034792308,0.02,0.02,0.75,0.589104733,0.090909091,0,26.73749735,39.74198207,28.27193532
34.08491916,32.95173844,0,54.15100427,6,8.531188299,6.118595967,6,0.75,0.02,0.75,0.02,0.295454545,0,19.56283501,76.65526552,81.22611185
20.86251293,34.98384724,12.45462461,12.03435628,8.319022352,8.475357678,6.545276479,7.832706663,0.421254641,0.101576103,0.347164873,0.75,0.272727273,0,22.51014555,17.05214761,5.08414248
0.259095945,27.96899175,26.53266499,35.13187157,6.052604722,7.588306847,6.015102852,6.041462425,0.02,0.700346448,0.333635433,0.153761937,0.295454545,0.022727273,18.52302528,60.7020925,62.70221499
32.83788269,20.18477539,14.70421607,36.34444115,7.765069238,7.704091662,6.700755402,6.624460615,0.497273688,0.716752378,0.3766673,0.275053708,0.295454545,0.045454545,19.9628444,18.29792369,9.296752137
34.48697166,38.09509437,24.08196582,39.7762992,6.777406865,6.382058392,6.025413096,6.468297077,0.493195144,0.511897678,0.569532991,0.739310433,0.272727273,0,20.68409213,45.36668604,41.55156276
19.39870154,49.34242796,17.17963081,23.75149102,8.454273271,8.397933322,9.069359978,7.530349187,0.152907475,0.41887814,0.483848699,0.683521277,0.204545455,0,26.15642785,20.44405504,5.418518464
