alk_Q1,alk_Q2,alk_Q3,alk_Q4,pH_Q1,pH_Q2,pH_Q3,pH_Q4,DBPsf_Q1,DBPsf_Q2,DBPsf_Q3,DBPsf_Q4,wc_freq_TTHM,wc_freq_HAA5,expect_solids,expect_lime,expect_co2
31.50,23.77,23.72,14.92,7.66,7.94,6.86,6.79,0.35,0.08,0.02,0.13,0.25,0.02,20.3,15.3,5.3
25.62,6.20,17.08,10.48,7.52,7.34,8.62,7.96,0.72,0.47,0.02,0.37,0.25,0.07,20.6,11.5,0.3
7.63,57.92,2.94,23.73,7.02,7.45,6.85,7.04,0.64,0.02,0.08,0.09,0.14,0.00,26.0,26.9,13.3
4.98,59.82,22.85,28.40,7.21,9.47,6.63,6.66,0.21,0.06,0.02,0.75,0.09,0.00,26.4,28.5,15.0
30.80,14.84,22.65,23.98,7.73,6.85,6.71,6.94,0.02,0.60,0.03,0.63,0.27,0.07,19.7,15.5,6.2
30.81,70.10,28.32,2.78,6.02,6.74,6.29,6.23,0.21,0.02,0.02,0.68,0.05,0.00,25.3,68.3,64.8
31.86,24.31,23.26,25.16,7.04,7.97,6.74,6.29,0.25,0.72,0.02,0.52,0.27,0.02,19.5,22.9,15.4
26.97,20.56,0.22,0.52,6.72,6.78,6.19,6.39,0.47,0.02,0.10,0.68,0.30,0.07,18.3,27.8,22.5
31.31,21.96,24.18,23.62,6.87,7.00,6.41,6.70,0.23,0.03,0.02,0.13,0.27,0.05,19.1,21.1,13.6
7.13,65.09,22.82,27.80,7.37,9.49,6.73,6.30,0.71,0.02,0.64,0.43,0.07,0.00,26.9,33.9,21.1
28.74,22.30,26.45,26.64,6.16,6.28,6.28,6.21,0.29,0.45,0.36,0.74,0.25,0.09,17.5,47.0,47.0
2.30,22.11,11.80,17.89,6.03,7.00,6.00,6.19,0.52,0.12,0.03,0.40,0.30,0.05,17.5,49.8,50.4
28.55,66.40,22.05,26.74,8.06,9.49,8.57,7.87,0.73,0.02,0.04,0.14,0.05,0.00,28.5,24.4,7.8
